,hashtags,goldtruths
725,30secondstomars,['30 seconds to mars']
726,sambradley,"['sam bradley', 'Sam Bradley']"
727,LOSNOTC,['losnotc']
728,mf09,"['mf 09', 'mf09', 'MF 09']"
729,s1e8,"['s1e8', 's1 e8']"
730,PaperHeroes,['Paper Heroes']
731,fifthsummit,['fifth summit']
732,bees,['bees']
733,beta1,"['beta1', 'beta 1']"
734,Bangalore,['Bangalore']
735,chromesucks,['chrome sucks']
736,SanctuarySunday,"['Sanctuary Sunday', 'sanctuary sunday']"
737,Heroes,['Heroes']
738,tweetup,"['tweetup', 'tweet up']"
739,pussycatis,['pussy cat is']
740,canucks,['canucks']
741,twssthurs,['twss thurs']
742,photog,['photog']
743,euroko,['euroko']
744,cloudfail,['cloud fail']
745,googlechrome,"['Google Chrome', 'google chrome']"
746,idiotictwitterapps,['idiotic twitter apps']
747,togs,['togs']
748,mancity,"['Man City', 'man city']"
749,SemperFidelis,['Semper Fidelis']
750,adlounge,['ad lounge']
751,photos,['photos']
752,mayhemcrew,['mayhem crew']
753,munlei,"['munlei', 'MUNLEI']"
754,largepussy,['large pussy']
755,badtiming,['bad timing']
756,scrapbook,['scrapbook']
757,crapsoaplines,['crap soap lines']
758,maximopark,['maximo park']
759,Wolves,['Wolves']
760,maternalhealth,['maternal health']
761,twittertakeover,['twitter takeover']
762,spain,"['spain', 'Spain']"
763,deathwhale,['death whale']
764,TWOHANDSFLETCHER,"['two hands FLETCHER', 'TWO HANDS FLETCHER']"
765,Spiritual,"['Spiritual', 'spiritual']"
766,erlang,"['erlang', 'Erlang']"
767,ridetowork,['ride to work']
768,iihfhockey,['iihf hockey']
769,noctweetup,['noc tweetup']
770,Virgin,['Virgin']
771,pbr09,"['PBR 09', 'pbr09', 'pbr 09']"
772,3words,['3 words']
773,Ducks,['Ducks']
774,ravelry,"['Ravelry', 'ravelry']"
775,indy500,['indy 500']
776,redshirts,['redshirts']
777,error,['error']
778,socialmediatv,['social media tv']
779,barcamporlando,"['bar camp orlando', 'barcamp orlando']"
780,biking,['biking']
781,bigweekend,['big weekend']
782,futuresonic,"['future sonic', 'futuresonic']"
783,OMGSWINEFLU,['OMG SWINE FLU']
784,randomfacts,['random facts']
785,bcp3,"['bcp 3', 'BCP 3', 'bcp3']"
786,notacon,"['notacon', 'Notacon', 'not a con']"
787,truecrypt,['truecrypt']
788,surface,['surface']
789,expenses,['expenses']
790,letdown,['letdown']
791,secretmission,['secret mission']
792,esc09,['ESC 09']
793,lostarg,"['LostARG', 'lostarg', 'lost arg']"
794,itsucks,['it sucks']
795,Halo3,['Halo 3']
796,SIXX,"['Sixx', 'SIXX']"
797,Easter,['Easter']
798,jrztwitterlunch,"['jrz twitter lunch', 'JRZ twitter lunch']"
799,weathermenRneverright,['weathermen R never right']
800,italy,['italy']
801,twitterisstoooooooooopid,['twitter is stoooooooooopid']
802,pawparty,['paw party']
803,imbot,"['IMbot', 'imbot']"
804,pooram,['pooram']
805,Surface,['Surface']
806,Flashpoint,['Flashpoint']
807,sgtweetup,['sg tweet up']
808,followfriday,['follow friday']
809,heartbreak,['heartbreak']
810,9,['9']
811,platformbiased,['platform biased']
812,hndate,"['HN Date', 'hn date', 'HN date']"
813,schooltime,['school time']
814,tweetdeck,['tweetdeck']
815,flyingpig,['flying pig']
816,ia2009,"['ia 2009', 'ia2009']"
817,WiiFit,['Wii Fit']
818,Without,['Without']
819,Barcelona,['Barcelona']
820,euruko,['euruko']
821,walmart,"['Walmart', 'walmart']"
822,backgroundimage,['background image']
823,Bristol,['Bristol']
824,jealous,['jealous']
825,dogwalkers,['dog walkers']
826,Lomo,['Lomo']
827,TheGreenTeen,['The Green Teen']
828,PistolWink,['Pistol Wink']
829,lacrosse,['lacrosse']
830,lupus,['lupus']
831,A1GP,"['A1 GP', 'A1GP']"
832,indonesia,"['indonesia', 'Indonesia']"
833,fortworth,['fort worth']
834,4networking,['4 networking']
835,ICTEV09,"['ICTEV 09', 'ictev09']"
836,riff,['riff']
837,comet09,"['comet 09', 'COMET 09', 'comet09']"
838,OppositeTuesday,"['Opposite Tuesday', 'opposite tuesday']"
839,sccr18,"['sccr18', 'sccr 18', 'SCCR 18']"
840,the,['the']
841,misshimalready,['miss him already']
842,iPhone,"['iphone', 'iPhone']"
843,itouch,"['itouch', 'iTouch']"
844,bersetzen,['bersetzen']
845,cusswords,"['cuss words', 'Cuss words']"
846,amazonfail,"['amazon fail', 'Amazon fail']"
847,climberpickup,['climber pickup']
848,2wkfilm,['2 wk film']
849,sustnow,['sust now']
850,moustachefail,['moustache fail']
851,Bored,"['bored', 'Bored']"
852,musicmonday,"['music Monday', 'music monday']"
853,bea09,"['bea09', 'BEA 09', 'bea 09']"
854,painbuddies,['pain buddies']
855,RCCar,['RC Car']
856,Stabbity,['Stabbity']
857,Ambients,['Ambients']
858,StarTrek,['star trek']
859,blog,['blog']
860,malwarebytes,"['malwarebytes', 'Malwarebytes']"
861,perth,"['perth', 'Perth']"
862,Starbucks,['Starbucks']
863,GoogleChrome,['google chrome']
864,LBF09,['LBF 09']
865,News,"['News', 'news']"
866,feastfriday,['feast friday']
867,teched,['teched']
868,Leinster,['Leinster']
869,legendoftheseeker,['legend of the seeker']
870,robiecreek,['robie creek']
871,nightshift,['night shift']
872,screengrab09,"['screen grab 09', 'screengrab 09']"
873,Drupal,['Drupal']
874,gripe,['gripe']
875,Dollhouse,['Dollhouse']
876,early,['early']
877,SGA,"['SGA', 'sga']"
878,winplaylist,['win playlist']
879,Genocide,['Genocide']
880,Chrysler,['Chrysler']
881,everton,"['everton', 'Everton']"
882,amp,['amp']
883,CakePHP,['CakePHP']
884,twitterfon,"['twitter fon', 'twitterfon']"
885,tangothursdays,['tango thursdays']
886,lost,['lost']
887,mypenis,['my penis']
888,Eelam,['Eelam']
889,miracle,['miracle']
890,Scarlet,['Scarlet']
891,yarratrams,['yarra trams']
892,palmpre,['palm pre']
893,macbooks,['macbooks']
894,Bones,['Bones']
895,baristawannabe,['barista wannabe']
896,googlewtf,"['google wtf', 'Google WTF']"
897,z0S09,['z0S09']
898,friendfail,['friend fail']
899,ChrisFlu,['chris flu']
900,Summers,"['Summers', 'summers']"
901,g4c09,"['g4c 09', 'g4c09', 'G4C 09']"
902,google,['google']
903,Ayrton,['Ayrton']
904,NKTOB,['NKTOB']
905,tbilnewmedia,['tbil new media']
906,twitter,"['Twitter', 'twitter']"
907,bluepeter,['blue peter']
908,gmail,"['Gmail', 'gmail']"
909,Famished,['Famished']
910,NHLTweetup,"['nhl tweetup', 'NHL tweetup']"
911,racialprofiling,['racial profiling']
912,aces2009,"['aces2009', 'aces 2009', 'ACES 2009']"
913,lobster,['lobster']
914,election,['election']
915,swineflu,"['Swine Flu', 'swine flu']"
916,underbelly,['underbelly']
917,UPSsucks,['UPS sucks']
918,BreakingBad,['Breaking Bad']
919,flaxandfiberfriday,['flax and fiber friday']
920,TwitterTakeover,"['Twitter takeover', 'twitter takeover']"
921,saveEarl,['save Earl']
922,celebrityapprentice,['celebrity apprentice']
923,Peoria,['Peoria']
924,perltweet,['perl tweet']
925,SAPPHIRE09,['SAPPHIRE 09']
926,Pompey,['Pompey']
927,votemcfly,"['vote mcfly', 'vote McFly']"
928,Facebook,['Facebook']
929,pol09,"['POL 09', 'pol09', 'pol 09']"
930,gfymonday,['gfy monday']
931,Throwback,['Throwback']
932,sv2009,"['sv2009', 'SV 2009', 'sv 2009']"
933,JapanTechTalk,['Japan Tech Talk']
934,EFTPOS,['EFTPOS']
935,bamboozle,['bamboozle']
936,SaveEarl,['Save Earl']
937,Karachi,['Karachi']
938,lightboxes,['lightboxes']
939,visialvoicemail,['visial voicemail']
940,theinbetweeners,['the inbetweeners']
941,twdn,"['TWDN', 'twdn']"
942,kilaumeet,"['kilau meet', 'Kilau meet']"
943,kidsmin,['kids min']
944,sleeplessinseattle,['sleepless in seattle']
945,nevergonnamounttanuthin,"['never gonna mount ta nuthin', 'never gonna mount ta nuthin ', 'never gonna mount ta nuthin', 'never gonna mount ta nuthin', 'never gonna  mount ta nuthin ']"
946,uxcb09,['uxcb09']
947,web2,"['web 2', 'Web 2']"
948,stupidworksuxes,['stupid work suxes']
949,hillhouse,"['hill house', 'hillhouse']"
950,Outdoors,['outdoors']
951,throwback,['throwback']
952,Kindle,['Kindle']
953,toughlove,['tough love']
954,fridayfirehazzard,['friday fire hazzard']
955,brighton,"['Brighton', 'brighton']"
956,postgresql,['postgresql']
957,ukpubs,['uk pubs']
958,netflix,"['netflix', 'Netflix']"
959,typenerd,['type nerd']
960,coffeeclub,['coffee club']
961,metaverseu,"['metaverse u', 'metaverseu']"
962,EuroDjangoCon,"['Euro DjangoCon', 'Euro Django Con']"
963,melbourne,"['melbourne', 'Melbourne']"
964,SATO48,"['SATO48', 'SATO 48']"
965,joomla,"['joomla', 'Joomla']"
966,OmniGraffle,['OmniGraffle']
967,Fellowes,['Fellowes']
968,azure,['azure']
969,ophcrack,"['Ophcrack', 'oph crack', 'ophcrack']"
970,Marley,['Marley']
971,noagenda,['no agenda']
972,Stansted,['Stansted']
973,Mesh09,"['Mesh 09', 'MESH 09', 'mesh09']"
974,jayleno,"['jay leno', 'Jay Leno']"
975,rpattz,['rpattz']
976,goldenopportunitymissed,['golden opportunity missed']
977,uollts,['uollts']
978,primal,['primal']
979,coffeclub,"['Coffe Club', 'coffe club']"
980,Hawks,['Hawks']
981,socks,['socks']
982,TYGaman,"['TYGa man', 'TYGaman']"
983,EdAust09,"['EdAust09', 'EdAust 09', 'Ed Aust 09']"
984,weather,['weather']
985,Storm,['storm']
986,IVAA09,['IVAA 09']
987,simeonhobbes,"['Simeon Hobbes', 'simeon hobbes']"
988,warisfucked,['war is fucked']
989,Twitterwhore,['Twitter whore']
990,barcodes,['barcodes']
991,EdTweetup,['Ed Tweetup']
992,PNLC,['PNLC']
993,openmoko,['openmoko']
994,spam,['spam']
995,jonasparanoid,"['Jonas paranoid', 'jonas paranoid']"
996,hotasspact2009,['hot ass pact 2009']
997,shoptoearn,['shop to earn']
998,FlingoutFriday,['Fling out Friday']
999,fullmooncrazy,['full moon crazy']
1000,trendfixing,['trend fixing']
1001,ica09,"['ica 09', 'ica09', 'ICA 09']"
1002,conservation,['conservation']
1003,flylady,"['FlyLady', 'flylady']"
1004,Ubuntu,['Ubuntu']
1005,twitterfail,['twitter fail']
1006,cowfriday,['cow friday']
1007,cricket,['cricket']
1008,tcaf,"['TCAF', 'tcaf']"
1009,TBarcamp,['T Barcamp']
1010,TweetDeck,['Tweet Deck']
1011,readathon,['readathon']
1012,lastmasters,['last masters']
1013,FollowFriday,['Follow Friday']
1014,grammarnazi,['grammar nazi']
1015,DSAA09,"['DSAA09', 'DSAA 09']"
1016,TalkingHeads,['Talking Heads']
1017,Croatia,['Croatia']
1018,xbox360,['Xbox 360']
1019,metameets,['meta meets']
1020,Lahore,['Lahore']
1021,Irish,['Irish']
1022,pelc09,['pelc 09']
1023,genealogy,['genealogy']
1024,smcchicago,['smc chicago']
1025,geocaching,['geocaching']
1026,House,['House']
1027,dollhouse,['dollhouse']
1028,GreenDay,['Green Day']
1029,lostfanfail,['lost fan fail']
1030,sleepdeprived,['sleep deprived']
1031,twiist,['twiist']
1032,shitstack,['shit stack']
1033,rrtheatre,"['RR theatre', 'rr theatre']"
1034,unnecessary_shit,['unnecessary _ shit']
1035,bizcase,['biz case']
1036,gamearena,['game arena']
1037,Glasto,['Glasto']
1038,strategicClock,['strategic Clock']
1039,ifast,"['ifast', 'I fast']"
1040,bupa10k,"['bupa 10k', 'BUPA 10k']"
1041,hamr,"['HAMR', 'hamr']"
1042,acen,['acen']
1043,Nats,['nats']
1044,WaltzWithBashir,['Waltz With Bashir']
1045,costsavings,['cost savings']
1046,startrekarg,['star trek arg']
1047,starbucks,['starbucks']
1048,shortcakefail,['shortcake fail']
1049,atltweet,['atl tweet']
1050,howling,['howling']
1051,rightturn,['right turn']
1052,saltwater,['salt water']
1053,Wii,['Wii']
1054,geocache,['geocache']
1055,keysinmahcar,['keys in mah car']
1056,squirrel,['squirrel']
1057,psychunitentertainment,['psych unit entertainment']
1058,oxteach,"['ox teach', 'oxteach']"
1059,Kelloggs,['Kelloggs']
1060,noundiessunday,['no undies sunday']
1061,ipv6summit,['IPv6 Summit']
1062,sparkpeople,"['spark people', 'sparkpeople']"
1063,emcworld,"['EMC world', 'emc world']"
1064,shortstack,"['short stack', 'ShortStack', 'Short Stack']"
1065,bremen,"['Bremen', 'bremen']"
1066,startup2startup,"['start up 2 start up', 'startup 2 startup', 'start up 2 start up', 'startup 2 startup']"
1067,cravingsomethingsweet,['craving something sweet']
1068,TCOT,['tcot']
1069,Batman,['Batman']
1070,WhyITweet,['Why I Tweet']
1071,Diigo,['Diigo']
1072,Lions09,['Lions 09']
1073,nocar,['no car']
1074,oew0509,['oew0509']
1075,twat,['twat']
1076,revision,['revision']
1077,SongStuckInMyHeadWhenIWokeUp,"['Song Stuck In My Head When I Woke Up', 'song stuck in my head when I woke up']"
1078,sunshine,['sunshine']
1079,webraising,['web raising']
1080,monday,['monday']
1081,whuffaoke,"['Whuffaoke', 'whuffaoke']"
1082,unfollowdiddy,['unfollow diddy']
1083,ignitesydney,['ignite sydney']
1084,football,['football']
1085,bringbacklife,['bring back life']
1086,djangocon,"['djangocon', 'django con', 'Django Con']"
1087,DaleBrown,['Dale Brown']
1088,bcleeds09,"['BC Leeds 09', 'bc leeds 09', 'bcleeds 09', 'bcleeds09']"
1089,140tc,"['140 tc', '140tc']"
1090,hurt,['hurt']
1091,finals,['finals']
1092,teched2009,"['tech ed 2009', 'teched2009', 'teched 2009']"
1093,twhirl,['twhirl']
1094,freenas,"['freenas', 'free nas']"
1095,zenjar,['zen jar']
1096,mw2009,"['mw 2009', 'MW 2009']"
1097,adium,['adium']
1098,youtube,['youtube']
1099,tryingnottobeastalker,['trying not to be a stalker']
1100,ottawa,"['ottawa', 'Ottawa']"
1101,herebeforeoprah,"['here before Oprah', 'here before oprah']"
1102,May24,['May 24']
1103,ialreadysoldmysoultoplantsvszombies,['i already sold my soul to plants vs zombies']
1104,iamsograceful,['i am so graceful']
1105,buffalo,['buffalo']
1106,marsiscoming,"['Mars is coming', 'mars is coming']"
1107,ims09,['ims 09']
